JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Data Visualisation Consultant,Developer,30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,,1566
Epidemiologist,Scientist,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,1567
Information designer + Researcher,None of these describes my role,30–39 hours,None,None,6–10 hours,5 hours or less,,,1568
Tableau Consultant,Developer,30–39 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,1569
Consultant,Engineer,30–39 hours,6–10 hours,6–10 hours,,11–20 hours,,,1570
Technical Director,Developer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,,,1571
Senior Consultant,,30–39 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,None,,1572
Graphic designer,Designer,30–39 hours,5 hours or less,None,None,6–10 hours,,,1573
"Information Designer, co-founder/CEO",Designer,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,,1574
Information Designer,Designer,30–39 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,None,,1575
BI Consultant,Developer,30–39 hours,5 hours or less,6–10 hours,5 hours or less,None,None,,1576
Data Analyst,Developer,30–39 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,None,,1577
UX & Data Engineer,Developer,30–39 hours,None,5 hours or less,5 hours or less,6–10 hours,,,1578
Power BI Developer,Developer,30–39 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,,,1579
Frontend Developer,Developer,30–39 hours,None,None,5 hours or less,5 hours or less,None,,1580
Data Research Analyst,Analyst,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1581
Product Data Analyst,Analyst,30–39 hours,11–20 hours,11–20 hours,5 hours or less,6–10 hours,None,,1582
Media Analyst,Analyst,30–39 hours,5 hours or less,21–30 hours,5 hours or less,5 hours or less,None,,1583
Data Manager,Developer,30–39 hours,21–30 hours,None,5 hours or less,None,None,,1584
Educational Specialist,"Leadership (Manager, Director, VP, etc.)",30–39 hours,None,5 hours or less,None,None,5 hours or less,,1585
Digital Marketing Lead,,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1586
research scientist,Scientist,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1587
Director,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1588
Research data analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1589
Senior Software Engineer,Developer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1590
Computational Biologist,Scientist,30–39 hours,11–20 hours,11–20 hours,None,5 hours or less,None,,1591
Auditor,"Leadership (Manager, Director, VP, etc.)",30–39 hours,11–20 hours,5 hours or less,5 hours or less,None,None,,1592
Student,Analyst,30–39 hours,11–20 hours,5 hours or less,5 hours or less,,None,,1593
Administrative Coordinator,None of these describes my role,30–39 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1594
Senior Data Solutions Analyst,Analyst,30–39 hours,5 hours or less,None,5 hours or less,6–10 hours,None,,1595
Analyste d'affaires en données ouvertes (open data business analyst),Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1596
UX Designer,,30–39 hours,,,6–10 hours,6–10 hours,,,1597
Programme Officer,,30–39 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,,,1598
Senior Data analysis specialist & lead data scientist,,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,1599
Junior Quantitative Researcher,,30–39 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,None,,1600
Data Analyst,,30–39 hours,5 hours or less,21–30 hours,5 hours or less,None,None,,1601
Process Development Lead,,30–39 hours,5 hours or less,None,None,5 hours or less,None,,1602
Data analyst and project manager,,30–39 hours,11–20 hours,5 hours or less,None,5 hours or less,None,,1603
Senior Research Scientist,,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,5 hours or less,,1604
Data visualization consultant,,30–39 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,None,,1605
Data scientist,Academic/Teacher,30–39 hours,11–20 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,1606
Associate auditor,,30–39 hours,5 hours or less,11–20 hours,11–20 hours,5 hours or less,11–20 hours,,1607
Learning Experience Designer,,30–39 hours,None,None,None,5 hours or less,None,,1608
Senior Product Designer,,30–39 hours,None,None,5 hours or less,5 hours or less,None,,1609
Senior Engineer,,30–39 hours,5 hours or less,None,5 hours or less,5 hours or less,None,,1610
Performance analyst,,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1611
Research specialist,,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1612
Data scientist,,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1613
web analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,None,6–10 hours,None,,1614
Project manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,6–10 hours,11–20 hours,5 hours or less,None,,1615
PhD Student,Scientist,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1616
Director of Data Operations,Developer,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1617
Reporting and Visualisation Manager,Developer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,None,,1618
PhD student,Scientist,30–39 hours,5 hours or less,None,5 hours or less,5 hours or less,None,,1619
I have 2 - Social Science Data Analyst and Data Technician II,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,,,1620
Senior Data Scientist,Scientist,30–39 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,None,,1621
Lead Graphic Designer,Designer,30–39 hours,5 hours or less,None,None,21–30 hours,None,,1622
Data visualisation specialist,Developer,30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,,1623
Customer Analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,None,,1624
Analytics Consultant,Analyst,30–39 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,None,,1625
Lead developper,Engineer,30–39 hours,None,None,,5 hours or less,More than 30 hours,,1626
Data Content Creator,None of these describes my role,30–39 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,1627
Management information systems executive,Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1628
Statistician,Analyst,30–39 hours,5 hours or less,5 hours or less,None,None,None,,1629
Senior Research and Planning Analyst,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1630
Fraud Prevention Analyst,Analyst,30–39 hours,None,6–10 hours,5 hours or less,11–20 hours,None,,1631
Senior Data Analyst,Analyst,30–39 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,None,,1632
evaluation manager,None of these describes my role,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,,,1633
Data Analyst,Analyst,30–39 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,None,,1634
Data Scientist,Scientist,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,,1635
Data analyst and mapmaker,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,1636
Principal Data Scientist,Analyst,30–39 hours,21–30 hours,5 hours or less,None,5 hours or less,,,1637
Designer,Designer,30–39 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,,1638
Manager Strategic Initiatives,None of these describes my role,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1639
Data Analyst,Analyst,30–39 hours,11–20 hours,6–10 hours,None,5 hours or less,None,,1640
Career Outcomes,Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1641
consultant,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1642
Senior Data Analyst,Analyst,30–39 hours,5 hours or less,11–20 hours,None,5 hours or less,,,1643
"Senior Analyst, Data Scientist",Scientist,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1644
Pricing Analyst,Analyst,30–39 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,None,,1645
Data Visualization Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,None,More than 30 hours,,,1646
data visualization engineer,Developer,30–39 hours,5 hours or less,None,None,5 hours or less,None,,1647
BI developer,Developer,30–39 hours,5 hours or less,None,5 hours or less,11–20 hours,5 hours or less,,1648
Project Evaluator,Analyst,30–39 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,1649
Researcher,Analyst,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1650
Data Visualization Analyst,Developer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,6–10 hours,,1651
Data analyst,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1652
Data Analyst / Data Visualizer,Analyst,30–39 hours,5 hours or less,None,6–10 hours,11–20 hours,None,,1653
Data analyst - Mapmaker,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1654
Researcher,Scientist,30–39 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,None,,1655
Customer insight analyst,Analyst,30–39 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,None,,1656
Analytics Experience Lead,"Leadership (Manager, Director, VP, etc.)",30–39 hours,None,None,6–10 hours,11–20 hours,6–10 hours,,1657
Data PM,Engineer,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1658
"Manager, Internal Audit","Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,11–20 hours,,11–20 hours,,,1659
K-12 Data Analytics Specialist,Developer,30–39 hours,,,,11–20 hours,,,1660
Senior Data and Visualization Analyst,Analyst,30–39 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,,,1661
Creative strategist,None of these describes my role,30–39 hours,6–10 hours,5 hours or less,11–20 hours,6–10 hours,5 hours or less,,1662
Director of Operational Analytics,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,,,1663
"Director, Dashboards and Reporting","Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,1664
Head of Data & Analytics,"Leadership (Manager, Director, VP, etc.)",30–39 hours,11–20 hours,6–10 hours,None,5 hours or less,None,,1665
CTO,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1666
Senior Information Analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1667
Data Scientist,Analyst,30–39 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,None,,1668
Head of Actuarial,Analyst,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1669
Manager,Analyst,30–39 hours,6–10 hours,6–10 hours,None,5 hours or less,None,,1670
Data Visualization Designer,Designer,30–39 hours,None,5 hours or less,11–20 hours,6–10 hours,,,1671
Head of Communications,"Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,,,1672
Head of Production,"Leadership (Manager, Director, VP, etc.)",30–39 hours,None,None,6–10 hours,6–10 hours,6–10 hours,,1673
Data Visualization Associate,Developer,30–39 hours,None,None,6–10 hours,21–30 hours,None,,1674
data analyst,None of these describes my role,30–39 hours,None,None,5 hours or less,5 hours or less,None,,1675
Senior Product Designer,Designer,30–39 hours,None,None,21–30 hours,5 hours or less,5 hours or less,,1676
Marketing Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,,,1677
Sustainability consultant,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,,,1678
Program evaluator,None of these describes my role,30–39 hours,,5 hours or less,5 hours or less,5 hours or less,,,1679
Business Data Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,None,,1680
Epidemiologist,Scientist,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,,1681
Senior Data Analyst,Analyst,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1682
Senior Institutional Research Analyst,Analyst,30–39 hours,11–20 hours,6–10 hours,None,6–10 hours,None,,1683
"Director, Assessment and Strategic Data Initiatives",Analyst,30–39 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,,,1684
HR Data Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1685
professor,Scientist,30–39 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,None,,1686
Developer,Engineer,30–39 hours,5 hours or less,5 hours or less,None,21–30 hours,None,,1687
Interactive Storytelling Developer,Designer,30–39 hours,6–10 hours,None,None,6–10 hours,None,,1688
Data Analytics Manager,Analyst,30–39 hours,5 hours or less,5 hours or less,None,None,None,,1689
Frontend developer & data visualization,Journalist,30–39 hours,5 hours or less,,6–10 hours,11–20 hours,,,1690
Sales Support Manager,None of these describes my role,30–39 hours,11–20 hours,5 hours or less,None,5 hours or less,None,,1691
Senior Data Analyst,Analyst,30–39 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,None,,1692
"Senior Specialist, Research and Evaluation",Analyst,30–39 hours,6–10 hours,6–10 hours,None,5 hours or less,None,,1693
Research and Data Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,,,1694
Senior Writer,Journalist,30–39 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,11–20 hours,,1695
Cartographer - web developer,Developer,30–39 hours,5 hours or less,6–10 hours,6–10 hours,21–30 hours,,,1696
Research Associate,None of these describes my role,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,,1697
Data Analytics & Visualization Team Lead,Designer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,5 hours or less,,1698
Data Scientist,Scientist,30–39 hours,11–20 hours,11–20 hours,None,5 hours or less,,,1699
Data Specialist,Analyst,30–39 hours,6–10 hours,11–20 hours,None,5 hours or less,None,,1700
Computational Biologist,Scientist,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,,1701
Infographic designer,Designer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,,1702
Change Manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,,1703
Architect,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,1704
Data management specialist,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,1705
Evaluation lead,None of these describes my role,30–39 hours,None,5 hours or less,None,5 hours or less,None,,1706
Data visualization specialist,Designer,30–39 hours,None,None,5 hours or less,11–20 hours,6–10 hours,,1707
Data analyst,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1708
Senior Business Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1709
Insight Analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,6–10 hours,,1710
Data Visualization Engineer,Designer,30–39 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,,,1711
Biostatistician,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,,1712
Student Surveys Assistant,Analyst,30–39 hours,11–20 hours,5 hours or less,None,5 hours or less,None,,1713
Scientist,Scientist,30–39 hours,6–10 hours,21–30 hours,5 hours or less,5 hours or less,None,,1714
Geomatics,Cartographer,30–39 hours,6–10 hours,5 hours or less,11–20 hours,5 hours or less,None,,1715
Research Associate,Analyst,30–39 hours,6–10 hours,6–10 hours,None,6–10 hours,None,,1716
Data Strategist,None of these describes my role,30–39 hours,5 hours or less,11–20 hours,5 hours or less,6–10 hours,None,,1717
Developer,Developer,30–39 hours,5 hours or less,6–10 hours,,5 hours or less,,,1718
Student Services Specialist,Analyst,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,1719
UX designer - data visualization,Designer,30–39 hours,21–30 hours,6–10 hours,6–10 hours,11–20 hours,5 hours or less,,1720
Senior Data Analyst,Analyst,30–39 hours,11–20 hours,11–20 hours,5 hours or less,6–10 hours,None,,1721
Assistant Vice President,Analyst,30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,1722
Software engineer (data visualization),Engineer,30–39 hours,None,5 hours or less,5 hours or less,None,None,,1723
Biostatistician,Analyst,30–39 hours,5 hours or less,None,None,11–20 hours,None,,1724
Senior Data Visualization Designer,Designer,30–39 hours,None,5 hours or less,5 hours or less,6–10 hours,6–10 hours,,1725
Analytics Coach,"Leadership (Manager, Director, VP, etc.)",30–39 hours,None,5 hours or less,6–10 hours,None,None,,1726
Analytical Consultant / university Lecturer,Scientist,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,1727
Analyst,Analyst,30–39 hours,21–30 hours,5 hours or less,None,None,None,,1728
Development officer,Developer,30–39 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,,,1729
Research and Evaluation Manager,Analyst,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,,1730
Consultant,Designer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,None,,1731
Head of Commercial Insights,"Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1732
Digital Designer,,30–39 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,None,,1733
Business Intelligence Officer,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,,1734
Principal Data Science,Analyst,30–39 hours,5 hours or less,5 hours or less,11–20 hours,21–30 hours,None,,1735
Senior Associate/Project Manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1736
Associate Data Scientist,Analyst,30–39 hours,11–20 hours,6–10 hours,6–10 hours,11–20 hours,,,1737
"Senior Director, Research and Evaluation","Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1738
Project Assistant,Analyst,30–39 hours,None,None,5 hours or less,11–20 hours,None,,1739
Associate Software Engineer,Engineer,30–39 hours,,,,More than 30 hours,,,1740
Research Data Analyst,Analyst,30–39 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,None,,1741
Research Communications Officer,None of these describes my role,30–39 hours,None,None,None,5 hours or less,None,,1742
Business Development Manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,6–10 hours,6–10 hours,11–20 hours,None,,1743
Data and Insights Analyst,Analyst,30–39 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,,1744
Senior Data Analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,None,5 hours or less,None,,1745
Data scientist,Developer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,,,1746
Assistant Staff Scientist,Scientist,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,1747
Hydrogeologist,Scientist,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,,1748
Electronic and Data Services Librarian,Analyst,30–39 hours,11–20 hours,5 hours or less,None,5 hours or less,,,1749
Senior Insight Analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1750
Senior Energy Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1751
Research Fellow,Analyst,30–39 hours,5 hours or less,6–10 hours,None,6–10 hours,6–10 hours,,1752
Senior Data Analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,,,1753
BI dev,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,1754
Junior Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,,1755
Data Analyst,Scientist,30–39 hours,11–20 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,,1756
Data Analyst,Analyst,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,,,1757
Data Analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,None,,1758
Senior Data Scientist,Scientist,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1759
Content Marketing Writer,Journalist,30–39 hours,5 hours or less,6–10 hours,,,,,1760
Planning Analyst,Analyst,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,,1761
Machine learning engineer,Engineer,30–39 hours,5 hours or less,11–20 hours,None,5 hours or less,None,,1762
Graphic designer,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1763
creative design director,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,,,1764
interaction design lecturer,Teacher,30–39 hours,None,5 hours or less,5 hours or less,6–10 hours,None,,1765
Data Analyst,Developer,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,,1766
journalist,Journalist,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1767
Data Science Manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,21–30 hours,5 hours or less,None,5 hours or less,None,,1768
data journalist,Journalist,30–39 hours,11–20 hours,6–10 hours,6–10 hours,11–20 hours,,,1769
BI Manager & Qlikview Developer,Developer,30–39 hours,11–20 hours,,,11–20 hours,11–20 hours,,1770
Communications Manager,Designer,30–39 hours,5 hours or less,None,5 hours or less,5 hours or less,None,,1771
UX Designer,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,,1772
Journalist-Engineer,Developer,30–39 hours,5 hours or less,None,6–10 hours,6–10 hours,,,1773
Sr Data Scientist,Scientist,30–39 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,,,1774
Healthcare data analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,1775
Data and Reporting Systems Analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,,,1776
Test engineer,Engineer,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1777
Graduate Analyst,Analyst,30–39 hours,6–10 hours,11–20 hours,5 hours or less,5 hours or less,None,,1778
Planning and Reporting Officer,Analyst,30–39 hours,11–20 hours,11–20 hours,None,6–10 hours,,,1779
Data Analytics Lead,Analyst,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,,1780
Associate,,30–39 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,1781
Data & Analytics Leader,"Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1782
data analyst,Analyst,30–39 hours,11–20 hours,11–20 hours,None,5 hours or less,None,,1783
Associate Software Engineer,Engineer,30–39 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,None,,1784
Visual analytics developer,Developer,30–39 hours,5 hours or less,None,6–10 hours,11–20 hours,5 hours or less,,1785
Senior Business Intelligence Analyst,Developer,30–39 hours,11–20 hours,5 hours or less,,6–10 hours,,,1786
Associate Director of Data Visualization,Designer,30–39 hours,5 hours or less,5 hours or less,None,21–30 hours,None,,1787
Visual Designer,Designer,30–39 hours,None,5 hours or less,6–10 hours,11–20 hours,None,,1788
Research specialist,Analyst,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1789
head of data visualization,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,,6–10 hours,11–20 hours,5 hours or less,,1790
Data and analytics consultant,Analyst,30–39 hours,6–10 hours,6–10 hours,None,5 hours or less,None,,1791
Supply Chain Analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,1792
Institutional Research Analyst,Analyst,30–39 hours,5 hours or less,6–10 hours,None,6–10 hours,None,,1793
Bi manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,,1794
Release Manager,Engineer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1795
Quality Analyst,Analyst,30–39 hours,11–20 hours,11–20 hours,None,11–20 hours,6–10 hours,,1796
Data Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,,1797
Senior BI Developer,Developer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,,1798
Data journalist,Journalist,30–39 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,,1799
"Manager, Data Visualization","Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,None,5 hours or less,5 hours or less,,,1800
Designer,Designer,30–39 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,,1801
Manager of Research Projects,Scientist,30–39 hours,5 hours or less,5 hours or less,None,None,None,,1802
Unit Head BI and Analytics,Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,1803
Senior Data and Insight Analyst,Analyst,30–39 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,None,,1804
Data science consultant,Scientist,30–39 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,1805
Graphics reporter,Journalist,30–39 hours,11–20 hours,11–20 hours,11–20 hours,6–10 hours,5 hours or less,,1806
Frontend developer,Developer,30–39 hours,21–30 hours,5 hours or less,None,21–30 hours,None,,1807
Business Intelligence Developer,Analyst,30–39 hours,5 hours or less,11–20 hours,11–20 hours,6–10 hours,None,,1808
Academic researcher,Designer,30–39 hours,6–10 hours,None,11–20 hours,11–20 hours,None,,1809
Business Intelligence,Analyst,30–39 hours,5 hours or less,6–10 hours,None,11–20 hours,5 hours or less,,1810
Quantitative Researcher,Scientist,30–39 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,None,,1811
Director of Institutional Research,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,None,None,None,,1812
Head,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1813
Education Program Specialist - Assessments & Analytics,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,1814
Instructional Technologist,,30–39 hours,None,None,None,None,None,,1815
Senior product designer,,30–39 hours,None,None,5 hours or less,5 hours or less,None,,1816
Sales Representative,,30–39 hours,5 hours or less,5 hours or less,None,None,None,,1817
Project Manager,,30–39 hours,None,None,None,None,None,,1818
Lead UX Designer,,30–39 hours,None,None,11–20 hours,11–20 hours,5 hours or less,,1819
Data Analyst,,30–39 hours,5 hours or less,21–30 hours,None,5 hours or less,5 hours or less,,1820
Statistician,Academic/Teacher,30–39 hours,6–10 hours,6–10 hours,None,5 hours or less,None,,1821
Program Coordinator,Student,30–39 hours,5 hours or less,11–20 hours,6–10 hours,21–30 hours,,,1822
Data engineer,,30–39 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1823
Administration,,30–39 hours,6–10 hours,11–20 hours,11–20 hours,11–20 hours,,,1824
Analyst,,30–39 hours,None,None,None,None,None,,1825
